
time 00h 01m 00s, episodes 1399, frames 0.2M, run loss 29.05
time 00h 02m 00s, episodes 2821, frames 0.3M, run loss 26.19
time 00h 03m 00s, episodes 4233, frames 0.5M, run loss 27.26
time 00h 04m 00s, episodes 5680, frames 0.7M, run loss 87.74
time 00h 05m 00s, episodes 7086, frames 0.8M, run loss 27.44
time 00h 06m 00s, episodes 8515, frames 1.0M, run loss 26.36
time 00h 07m 00s, episodes 9933, frames 1.2M, run loss 25.38
time 00h 08m 00s, episodes 11350, frames 1.4M, run loss 25.93
time 00h 09m 00s, episodes 12748, frames 1.5M, run loss 29.30
time 00h 10m 00s, episodes 14135, frames 1.7M, run loss 27.52
time 00h 11m 00s, episodes 15503, frames 1.8M, run loss 30.87

	2M frames: saved model

time 00h 12m 00s, episodes 16907, frames 2.0M, run loss 502.92
time 00h 13m 00s, episodes 18281, frames 2.2M, run loss 303.30
time 00h 14m 00s, episodes 19652, frames 2.3M, run loss 352.32
time 00h 15m 00s, episodes 20980, frames 2.5M, run loss 356.09
time 00h 16m 00s, episodes 22279, frames 2.7M, run loss 362.46
time 00h 17m 00s, episodes 23614, frames 2.8M, run loss 356.15
time 00h 18m 00s, episodes 24930, frames 3.0M, run loss 355.33
time 00h 19m 00s, episodes 26230, frames 3.1M, run loss 356.03
time 00h 20m 00s, episodes 27519, frames 3.3M, run loss 357.41
time 00h 21m 00s, episodes 28841, frames 3.4M, run loss 356.08
time 00h 22m 00s, episodes 30156, frames 3.6M, run loss 351.96
time 00h 23m 01s, episodes 31459, frames 3.7M, run loss 357.87
time 00h 24m 01s, episodes 32759, frames 3.9M, run loss 356.55

	4M frames: saved model

time 00h 25m 01s, episodes 34091, frames 4.1M, run loss 356.19
time 00h 26m 01s, episodes 35398, frames 4.2M, run loss 358.44
time 00h 27m 01s, episodes 36716, frames 4.4M, run loss 350.18
time 00h 28m 01s, episodes 38022, frames 4.5M, run loss 360.53
time 00h 29m 01s, episodes 39333, frames 4.7M, run loss 351.46
time 00h 30m 01s, episodes 40629, frames 4.8M, run loss 358.14
time 00h 31m 01s, episodes 41925, frames 5.0M, run loss 357.89
time 00h 32m 01s, episodes 43232, frames 5.1M, run loss 356.54
time 00h 33m 01s, episodes 44525, frames 5.3M, run loss 356.12
time 00h 34m 02s, episodes 45853, frames 5.5M, run loss 356.13
time 00h 35m 02s, episodes 47147, frames 5.6M, run loss 354.77
time 00h 36m 02s, episodes 48456, frames 5.8M, run loss 358.56
