
time 00h 01m 00s, episodes 48, frames 0.1M, mean epr -20.79, run loss -79.22
time 00h 02m 00s, episodes 97, frames 0.1M, mean epr -20.63, run loss -55.08
time 00h 03m 00s, episodes 151, frames 0.2M, mean epr -20.56, run loss -36.31
time 00h 04m 00s, episodes 202, frames 0.3M, mean epr -20.46, run loss -22.05
time 00h 05m 00s, episodes 254, frames 0.3M, mean epr -20.43, run loss -13.55
time 00h 06m 00s, episodes 307, frames 0.4M, mean epr -20.33, run loss -12.07
time 00h 07m 00s, episodes 355, frames 0.4M, mean epr -20.25, run loss -8.56
time 00h 08m 00s, episodes 402, frames 0.5M, mean epr -20.07, run loss -5.56
time 00h 09m 00s, episodes 451, frames 0.6M, mean epr -20.08, run loss -4.04
time 00h 10m 00s, episodes 501, frames 0.6M, mean epr -20.06, run loss -6.23
time 00h 11m 00s, episodes 551, frames 0.7M, mean epr -20.03, run loss -5.06
time 00h 12m 00s, episodes 600, frames 0.8M, mean epr -19.99, run loss -3.57
time 00h 13m 00s, episodes 649, frames 0.8M, mean epr -20.00, run loss -5.57
time 00h 14m 01s, episodes 690, frames 0.9M, mean epr -19.58, run loss -1.09
time 00h 15m 01s, episodes 724, frames 1.0M, mean epr -19.22, run loss -0.58
time 00h 16m 01s, episodes 756, frames 1.0M, mean epr -18.57, run loss 1.37
time 00h 17m 01s, episodes 785, frames 1.1M, mean epr -17.79, run loss 0.85
time 00h 18m 01s, episodes 815, frames 1.1M, mean epr -17.11, run loss -0.89
time 00h 19m 01s, episodes 843, frames 1.2M, mean epr -16.50, run loss 0.61
time 00h 20m 01s, episodes 873, frames 1.3M, mean epr -16.08, run loss -1.55
time 00h 21m 01s, episodes 901, frames 1.3M, mean epr -15.38, run loss -0.10
time 00h 22m 01s, episodes 929, frames 1.4M, mean epr -15.16, run loss -1.19
time 00h 23m 01s, episodes 956, frames 1.5M, mean epr -14.78, run loss 2.08
time 00h 24m 01s, episodes 984, frames 1.5M, mean epr -14.41, run loss -0.31
time 00h 25m 01s, episodes 1010, frames 1.6M, mean epr -13.97, run loss -0.33
time 00h 26m 01s, episodes 1036, frames 1.7M, mean epr -13.60, run loss -1.41
time 00h 27m 01s, episodes 1060, frames 1.7M, mean epr -13.56, run loss -2.29
time 00h 28m 01s, episodes 1087, frames 1.8M, mean epr -13.42, run loss -2.73
time 00h 29m 02s, episodes 1110, frames 1.9M, mean epr -13.21, run loss -2.55
time 00h 30m 02s, episodes 1134, frames 1.9M, mean epr -13.28, run loss -2.41
time 00h 31m 02s, episodes 1159, frames 2.0M, mean epr -13.04, run loss -5.59

	2M frames: saved model

time 00h 32m 02s, episodes 1182, frames 2.0M, mean epr -12.78, run loss -5.45
time 00h 33m 02s, episodes 1209, frames 2.1M, mean epr -13.15, run loss -3.92
time 00h 34m 02s, episodes 1234, frames 2.2M, mean epr -13.29, run loss -4.74
time 00h 35m 02s, episodes 1262, frames 2.2M, mean epr -13.05, run loss -4.27
time 00h 36m 02s, episodes 1283, frames 2.3M, mean epr -12.87, run loss -6.05
time 00h 37m 02s, episodes 1307, frames 2.4M, mean epr -12.70, run loss -5.41
time 00h 38m 02s, episodes 1330, frames 2.4M, mean epr -12.54, run loss -6.48
time 00h 39m 02s, episodes 1357, frames 2.5M, mean epr -12.48, run loss -9.04
time 00h 40m 02s, episodes 1376, frames 2.6M, mean epr -12.36, run loss -9.16
time 00h 41m 02s, episodes 1400, frames 2.6M, mean epr -12.29, run loss -10.14
time 00h 42m 02s, episodes 1422, frames 2.7M, mean epr -11.94, run loss -8.48
time 00h 43m 02s, episodes 1441, frames 2.8M, mean epr -11.90, run loss -9.51
time 00h 44m 02s, episodes 1460, frames 2.8M, mean epr -11.65, run loss -11.76
time 00h 45m 03s, episodes 1484, frames 2.9M, mean epr -11.50, run loss -11.16
time 00h 46m 03s, episodes 1504, frames 2.9M, mean epr -11.16, run loss -9.53
time 00h 47m 03s, episodes 1521, frames 3.0M, mean epr -11.04, run loss -13.19
time 00h 48m 03s, episodes 1540, frames 3.1M, mean epr -10.97, run loss -14.07
time 00h 49m 03s, episodes 1561, frames 3.1M, mean epr -10.80, run loss -15.21
time 00h 50m 03s, episodes 1579, frames 3.2M, mean epr -10.47, run loss -15.11
time 00h 51m 03s, episodes 1595, frames 3.3M, mean epr -10.23, run loss -16.49
time 00h 52m 03s, episodes 1612, frames 3.3M, mean epr -10.25, run loss -16.55
time 00h 53m 03s, episodes 1629, frames 3.4M, mean epr -10.24, run loss -18.75
time 00h 54m 03s, episodes 1645, frames 3.5M, mean epr -10.21, run loss -19.23
time 00h 55m 03s, episodes 1660, frames 3.5M, mean epr -10.03, run loss -20.57
time 00h 56m 03s, episodes 1678, frames 3.6M, mean epr -9.85, run loss -20.25
time 00h 57m 03s, episodes 1695, frames 3.7M, mean epr -9.81, run loss -25.32
time 00h 58m 03s, episodes 1711, frames 3.7M, mean epr -9.36, run loss -22.94
time 00h 59m 03s, episodes 1726, frames 3.8M, mean epr -9.33, run loss -23.19
time 01h 00m 03s, episodes 1740, frames 3.8M, mean epr -9.42, run loss -26.15
time 01h 01m 04s, episodes 1755, frames 3.9M, mean epr -9.35, run loss -25.51
time 01h 02m 04s, episodes 1770, frames 4.0M, mean epr -9.12, run loss -25.72

	4M frames: saved model

time 01h 03m 04s, episodes 1785, frames 4.0M, mean epr -8.94, run loss -25.24
