
time 00h 01m 01s, episodes 502, frames 0.1M, mean epr -14.49, run loss 416.69
time 00h 02m 01s, episodes 1016, frames 0.2M, mean epr -14.51, run loss 383.90
time 00h 03m 02s, episodes 1548, frames 0.2M, mean epr -14.19, run loss 352.92
time 00h 04m 02s, episodes 2066, frames 0.3M, mean epr -14.56, run loss 300.76
time 00h 05m 05s, episodes 2619, frames 0.4M, mean epr -14.55, run loss 308.73
time 00h 06m 05s, episodes 3146, frames 0.5M, mean epr -14.56, run loss 284.11
time 00h 07m 05s, episodes 3667, frames 0.5M, mean epr -14.61, run loss 288.87
time 00h 08m 05s, episodes 4190, frames 0.6M, mean epr -14.32, run loss 270.43
time 00h 09m 06s, episodes 4713, frames 0.7M, mean epr -14.45, run loss 250.91
time 00h 10m 06s, episodes 5242, frames 0.8M, mean epr -14.55, run loss 230.63
time 00h 11m 07s, episodes 5759, frames 0.9M, mean epr -14.48, run loss 213.45
time 00h 12m 07s, episodes 6283, frames 0.9M, mean epr -14.42, run loss 163.89
time 00h 13m 07s, episodes 6798, frames 1.0M, mean epr -14.59, run loss 164.05
time 00h 14m 07s, episodes 7321, frames 1.1M, mean epr -14.64, run loss 187.54
time 00h 15m 07s, episodes 7831, frames 1.2M, mean epr -14.60, run loss 152.23
time 00h 16m 08s, episodes 8350, frames 1.2M, mean epr -14.22, run loss 143.32
time 00h 17m 08s, episodes 8864, frames 1.3M, mean epr -14.48, run loss 134.48
time 00h 18m 08s, episodes 9388, frames 1.4M, mean epr -14.49, run loss 120.12
time 00h 19m 12s, episodes 9936, frames 1.5M, mean epr -14.46, run loss 112.94
time 00h 20m 12s, episodes 10470, frames 1.6M, mean epr -14.37, run loss 110.65
time 00h 21m 13s, episodes 11004, frames 1.6M, mean epr -14.59, run loss 116.76
time 00h 22m 13s, episodes 11529, frames 1.7M, mean epr -14.65, run loss 96.52
time 00h 23m 13s, episodes 12054, frames 1.8M, mean epr -14.46, run loss 106.08
time 00h 24m 13s, episodes 12579, frames 1.9M, mean epr -14.47, run loss 110.05
time 00h 25m 13s, episodes 13109, frames 2.0M, mean epr -14.52, run loss 121.39

	2M frames: saved model

time 00h 26m 15s, episodes 13654, frames 2.0M, mean epr -14.74, run loss 119.42
time 00h 27m 15s, episodes 14182, frames 2.1M, mean epr -14.50, run loss 90.87
time 00h 28m 16s, episodes 14707, frames 2.2M, mean epr -14.41, run loss 91.27
time 00h 29m 16s, episodes 15225, frames 2.3M, mean epr -14.62, run loss 102.45
time 00h 30m 16s, episodes 15747, frames 2.3M, mean epr -14.44, run loss 125.50
time 00h 31m 16s, episodes 16262, frames 2.4M, mean epr -14.54, run loss 129.29
time 00h 32m 17s, episodes 16787, frames 2.5M, mean epr -14.58, run loss 111.31
time 00h 33m 17s, episodes 17302, frames 2.6M, mean epr -14.64, run loss 118.01
time 00h 34m 18s, episodes 17824, frames 2.7M, mean epr -14.59, run loss 95.77
time 00h 35m 18s, episodes 18342, frames 2.7M, mean epr -14.71, run loss 99.49
time 00h 36m 18s, episodes 18865, frames 2.8M, mean epr -14.22, run loss 105.34
time 00h 37m 18s, episodes 19378, frames 2.9M, mean epr -14.52, run loss 100.91
time 00h 38m 18s, episodes 19908, frames 3.0M, mean epr -14.21, run loss 107.49
time 00h 39m 19s, episodes 20413, frames 3.0M, mean epr -14.58, run loss 115.84
time 00h 40m 20s, episodes 20937, frames 3.1M, mean epr -14.67, run loss 89.28
time 00h 41m 21s, episodes 21459, frames 3.2M, mean epr -14.55, run loss 92.58
time 00h 42m 21s, episodes 21984, frames 3.3M, mean epr -14.58, run loss 70.11
time 00h 43m 23s, episodes 22520, frames 3.4M, mean epr -14.51, run loss 61.75
time 00h 44m 24s, episodes 23047, frames 3.4M, mean epr -14.59, run loss 76.33
time 00h 45m 25s, episodes 23575, frames 3.5M, mean epr -14.42, run loss 65.50
time 00h 46m 25s, episodes 24091, frames 3.6M, mean epr -14.55, run loss 66.13
time 00h 47m 25s, episodes 24614, frames 3.7M, mean epr -14.56, run loss 60.07
time 00h 48m 25s, episodes 25139, frames 3.7M, mean epr -14.61, run loss 54.42
time 00h 49m 25s, episodes 25669, frames 3.8M, mean epr -14.38, run loss 49.78
time 00h 50m 25s, episodes 26182, frames 3.9M, mean epr -14.64, run loss 59.79
time 00h 51m 25s, episodes 26696, frames 4.0M, mean epr -14.60, run loss 50.01

	4M frames: saved model


	4M frames: saved model

time 00h 52m 25s, episodes 27218, frames 4.1M, mean epr -14.44, run loss 51.07
