
time 00h 01m 00s, episodes 79, frames 0.0M, mean epr 6.35, run loss 175.38, shares of one box (0.98), two boxes (0.84) and three boxes(0.64) pushed on target, difficulty: 4.0
time 00h 02m 01s, episodes 152, frames 0.0M, mean epr 4.30, run loss 282.92, shares of one box (0.95), two boxes (0.79) and three boxes(0.49) pushed on target, difficulty: 4.0
time 00h 03m 05s, episodes 230, frames 0.0M, mean epr 3.08, run loss 315.22, shares of one box (0.94), two boxes (0.73) and three boxes(0.40) pushed on target, difficulty: 4.0
time 00h 04m 07s, episodes 316, frames 0.0M, mean epr 2.72, run loss 288.92, shares of one box (0.94), two boxes (0.71) and three boxes(0.37) pushed on target, difficulty: 4.0
time 00h 05m 10s, episodes 398, frames 0.0M, mean epr 1.74, run loss 277.40, shares of one box (0.92), two boxes (0.68) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 06m 15s, episodes 488, frames 0.0M, mean epr 1.44, run loss 257.56, shares of one box (0.92), two boxes (0.62) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 07m 15s, episodes 568, frames 0.0M, mean epr 1.79, run loss 285.70, shares of one box (0.92), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 08m 20s, episodes 659, frames 0.0M, mean epr 1.67, run loss 268.39, shares of one box (0.90), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 09m 23s, episodes 724, frames 0.0M, mean epr 2.42, run loss 295.55, shares of one box (0.93), two boxes (0.72) and three boxes(0.34) pushed on target, difficulty: 4.0
time 00h 10m 25s, episodes 803, frames 0.0M, mean epr 2.05, run loss 305.05, shares of one box (0.93), two boxes (0.66) and three boxes(0.32) pushed on target, difficulty: 4.0
time 00h 11m 28s, episodes 875, frames 0.0M, mean epr 1.76, run loss 290.41, shares of one box (0.92), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 12m 29s, episodes 952, frames 0.0M, mean epr 1.44, run loss 271.83, shares of one box (0.94), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 13m 34s, episodes 1036, frames 0.0M, mean epr 1.04, run loss 236.00, shares of one box (0.90), two boxes (0.66) and three boxes(0.24) pushed on target, difficulty: 4.0
time 00h 14m 35s, episodes 1114, frames 0.0M, mean epr 1.88, run loss 279.46, shares of one box (0.92), two boxes (0.69) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 15m 40s, episodes 1200, frames 0.0M, mean epr 2.56, run loss 359.86, shares of one box (0.93), two boxes (0.69) and three boxes(0.36) pushed on target, difficulty: 4.0
time 00h 16m 43s, episodes 1285, frames 0.0M, mean epr 2.47, run loss 326.00, shares of one box (0.92), two boxes (0.71) and three boxes(0.35) pushed on target, difficulty: 4.0
time 00h 17m 47s, episodes 1367, frames 0.0M, mean epr 1.64, run loss 272.91, shares of one box (0.90), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
