
time 00h 01m 00s, episodes 101, frames 0.0M, mean epr -19.24, run loss 320.67
time 00h 02m 00s, episodes 224, frames 0.0M, mean epr -18.96, run loss 493.66
time 00h 03m 00s, episodes 347, frames 0.1M, mean epr -19.21, run loss 483.70
time 00h 04m 00s, episodes 470, frames 0.1M, mean epr -18.34, run loss 416.55
time 00h 09m 15s, episodes 567, frames 0.1M, mean epr -18.68, run loss 305.44
time 00h 10m 15s, episodes 680, frames 0.1M, mean epr -18.57, run loss 164.06
time 00h 11m 15s, episodes 801, frames 0.2M, mean epr -18.08, run loss 125.48
time 00h 12m 15s, episodes 918, frames 0.2M, mean epr -18.54, run loss 107.34
time 00h 13m 16s, episodes 1026, frames 0.2M, mean epr -18.82, run loss 98.21
time 00h 14m 16s, episodes 1142, frames 0.2M, mean epr -18.79, run loss 46.22
time 00h 15m 16s, episodes 1257, frames 0.2M, mean epr -18.47, run loss 22.07
time 00h 16m 16s, episodes 1373, frames 0.3M, mean epr -18.82, run loss 12.34
time 00h 17m 16s, episodes 1491, frames 0.3M, mean epr -18.49, run loss 11.87
time 00h 18m 16s, episodes 1611, frames 0.3M, mean epr -18.56, run loss 11.48
time 00h 19m 16s, episodes 1728, frames 0.3M, mean epr -18.19, run loss 11.36
time 00h 20m 16s, episodes 1843, frames 0.4M, mean epr -19.02, run loss 10.15
time 00h 21m 16s, episodes 1965, frames 0.4M, mean epr -18.90, run loss 64.84
time 00h 22m 16s, episodes 2086, frames 0.4M, mean epr -18.92, run loss 100.60
time 00h 23m 16s, episodes 2198, frames 0.4M, mean epr -19.08, run loss 102.36
time 00h 24m 16s, episodes 2317, frames 0.5M, mean epr -19.14, run loss 101.65
time 00h 25m 16s, episodes 2433, frames 0.5M, mean epr -18.75, run loss 108.24
time 00h 26m 16s, episodes 2553, frames 0.5M, mean epr -18.72, run loss 50.00
time 00h 27m 16s, episodes 2673, frames 0.5M, mean epr -19.07, run loss 22.08
time 00h 28m 16s, episodes 2790, frames 0.5M, mean epr -18.45, run loss 12.25
time 00h 29m 17s, episodes 2912, frames 0.6M, mean epr -18.04, run loss 10.36
time 00h 30m 17s, episodes 3030, frames 0.6M, mean epr -18.59, run loss 71.09
time 00h 31m 17s, episodes 3155, frames 0.6M, mean epr -18.61, run loss 88.72
time 00h 32m 17s, episodes 3272, frames 0.6M, mean epr -19.00, run loss 94.40
time 00h 33m 17s, episodes 3394, frames 0.7M, mean epr -18.97, run loss 100.26
time 00h 34m 17s, episodes 3514, frames 0.7M, mean epr -18.67, run loss 95.80
time 00h 35m 17s, episodes 3632, frames 0.7M, mean epr -18.65, run loss 67.32
time 00h 36m 17s, episodes 3753, frames 0.7M, mean epr -18.45, run loss 26.50
time 00h 37m 17s, episodes 3870, frames 0.8M, mean epr -18.63, run loss 15.60
time 00h 38m 17s, episodes 3984, frames 0.8M, mean epr -18.70, run loss 10.15
time 00h 39m 18s, episodes 4107, frames 0.8M, mean epr -18.68, run loss 9.59
time 00h 40m 18s, episodes 4224, frames 0.8M, mean epr -18.58, run loss 11.47
time 00h 41m 18s, episodes 4346, frames 0.9M, mean epr -18.32, run loss 9.85
time 00h 42m 18s, episodes 4466, frames 0.9M, mean epr -18.45, run loss 61.35
time 00h 43m 18s, episodes 4591, frames 0.9M, mean epr -19.03, run loss 91.38
time 00h 44m 18s, episodes 4713, frames 0.9M, mean epr -18.67, run loss 99.26
time 00h 45m 18s, episodes 4832, frames 0.9M, mean epr -18.91, run loss 83.01
time 00h 46m 18s, episodes 4956, frames 1.0M, mean epr -18.63, run loss 32.25
time 00h 47m 18s, episodes 5073, frames 1.0M, mean epr -18.28, run loss 15.95
time 00h 48m 18s, episodes 5189, frames 1.0M, mean epr -18.58, run loss 10.86
time 00h 49m 18s, episodes 5309, frames 1.0M, mean epr -19.05, run loss 8.87
time 00h 50m 19s, episodes 5428, frames 1.1M, mean epr -19.01, run loss 10.56
time 00h 51m 19s, episodes 5553, frames 1.1M, mean epr -19.10, run loss 9.21
time 00h 52m 19s, episodes 5669, frames 1.1M, mean epr -19.18, run loss 9.95
time 00h 53m 19s, episodes 5788, frames 1.1M, mean epr -18.84, run loss 10.34
time 00h 54m 19s, episodes 5909, frames 1.2M, mean epr -19.05, run loss 9.65
time 00h 55m 19s, episodes 6024, frames 1.2M, mean epr -18.70, run loss 8.85
time 00h 56m 19s, episodes 6147, frames 1.2M, mean epr -18.85, run loss 10.91
time 00h 57m 19s, episodes 6270, frames 1.2M, mean epr -18.60, run loss 13.21
time 00h 58m 19s, episodes 6389, frames 1.3M, mean epr -18.73, run loss 12.43
time 00h 59m 21s, episodes 6511, frames 1.3M, mean epr -18.42, run loss 9.74
time 01h 00m 21s, episodes 6633, frames 1.3M, mean epr -18.56, run loss 31.40
time 01h 01m 21s, episodes 6753, frames 1.3M, mean epr -18.87, run loss 86.34
time 01h 02m 21s, episodes 6877, frames 1.4M, mean epr -18.33, run loss 101.43
time 01h 03m 21s, episodes 6993, frames 1.4M, mean epr -18.20, run loss 98.41
time 01h 04m 21s, episodes 7114, frames 1.4M, mean epr -18.63, run loss 103.11
time 01h 05m 21s, episodes 7236, frames 1.4M, mean epr -18.25, run loss 57.52
time 01h 06m 21s, episodes 7357, frames 1.4M, mean epr -18.63, run loss 24.19
time 01h 07m 21s, episodes 7477, frames 1.5M, mean epr -19.13, run loss 16.01
time 01h 08m 21s, episodes 7596, frames 1.5M, mean epr -19.14, run loss 9.85
time 01h 09m 22s, episodes 7722, frames 1.5M, mean epr -18.14, run loss 11.31
time 01h 10m 22s, episodes 7841, frames 1.5M, mean epr -18.39, run loss 11.19
time 01h 11m 22s, episodes 7964, frames 1.6M, mean epr -18.60, run loss 10.52
time 01h 12m 22s, episodes 8082, frames 1.6M, mean epr -18.91, run loss 62.84
time 01h 13m 22s, episodes 8204, frames 1.6M, mean epr -18.82, run loss 146.24
time 01h 14m 22s, episodes 8328, frames 1.6M, mean epr -18.29, run loss 167.97
time 01h 15m 22s, episodes 8448, frames 1.7M, mean epr -18.51, run loss 55.16
time 01h 16m 22s, episodes 8568, frames 1.7M, mean epr -18.80, run loss 21.74
time 01h 17m 22s, episodes 8686, frames 1.7M, mean epr -18.91, run loss 12.99
time 01h 18m 22s, episodes 8806, frames 1.7M, mean epr -19.00, run loss 66.69
time 01h 19m 23s, episodes 8930, frames 1.8M, mean epr -18.72, run loss 84.18
time 01h 20m 23s, episodes 9053, frames 1.8M, mean epr -18.68, run loss 97.05
time 01h 21m 23s, episodes 9175, frames 1.8M, mean epr -19.06, run loss -28.05
time 01h 22m 23s, episodes 9298, frames 1.8M, mean epr -18.93, run loss 103.42
time 01h 23m 23s, episodes 9419, frames 1.9M, mean epr -18.74, run loss 159.03
time 01h 24m 23s, episodes 9536, frames 1.9M, mean epr -18.68, run loss 153.39
time 01h 25m 23s, episodes 9658, frames 1.9M, mean epr -17.94, run loss 73.40
time 01h 26m 23s, episodes 9783, frames 1.9M, mean epr -18.69, run loss 28.54
time 01h 27m 23s, episodes 9904, frames 1.9M, mean epr -18.92, run loss 15.99
time 01h 28m 23s, episodes 10031, frames 2.0M, mean epr -18.50, run loss 11.31
time 01h 29m 25s, episodes 10156, frames 2.0M, mean epr -18.44, run loss 12.63

	2M frames: saved model

time 01h 30m 25s, episodes 10270, frames 2.0M, mean epr -18.97, run loss 10.08
time 01h 31m 26s, episodes 10394, frames 2.0M, mean epr -18.82, run loss 67.72
time 01h 32m 26s, episodes 10515, frames 2.1M, mean epr -18.20, run loss 94.14
time 01h 33m 26s, episodes 10638, frames 2.1M, mean epr -18.88, run loss 95.91
time 01h 34m 26s, episodes 10757, frames 2.1M, mean epr -18.93, run loss 102.70
time 01h 35m 26s, episodes 10871, frames 2.1M, mean epr -19.09, run loss 57.73
time 01h 36m 26s, episodes 10985, frames 2.2M, mean epr -19.00, run loss 22.82
time 01h 37m 26s, episodes 11109, frames 2.2M, mean epr -18.87, run loss 11.33
time 01h 38m 26s, episodes 11227, frames 2.2M, mean epr -18.93, run loss 9.58
time 01h 39m 26s, episodes 11348, frames 2.2M, mean epr -19.20, run loss 8.93
time 01h 40m 26s, episodes 11468, frames 2.3M, mean epr -19.11, run loss 18.05
time 01h 41m 27s, episodes 11590, frames 2.3M, mean epr -19.04, run loss 21.11
time 01h 42m 27s, episodes 11714, frames 2.3M, mean epr -18.77, run loss 20.98
time 01h 43m 27s, episodes 11839, frames 2.3M, mean epr -18.43, run loss 154.79
time 01h 44m 27s, episodes 11965, frames 2.4M, mean epr -18.29, run loss 213.04
time 01h 45m 27s, episodes 12090, frames 2.4M, mean epr -18.88, run loss 209.20
time 01h 46m 27s, episodes 12218, frames 2.4M, mean epr -17.94, run loss 192.86
time 01h 47m 27s, episodes 12342, frames 2.4M, mean epr -18.16, run loss 141.14
time 01h 48m 27s, episodes 12462, frames 2.4M, mean epr -18.83, run loss 48.14
time 01h 49m 27s, episodes 12588, frames 2.5M, mean epr -18.81, run loss 20.35
time 01h 50m 27s, episodes 12706, frames 2.5M, mean epr -19.04, run loss 11.12
time 01h 51m 27s, episodes 12832, frames 2.5M, mean epr -18.68, run loss 9.54
time 01h 52m 27s, episodes 12951, frames 2.5M, mean epr -18.92, run loss 8.10
time 01h 53m 27s, episodes 13076, frames 2.6M, mean epr -18.57, run loss 11.25
time 01h 54m 27s, episodes 13198, frames 2.6M, mean epr -18.31, run loss 64.91
time 01h 55m 29s, episodes 13320, frames 2.6M, mean epr -18.90, run loss 28.29
time 01h 56m 29s, episodes 13444, frames 2.6M, mean epr -18.71, run loss 15.89
time 01h 57m 29s, episodes 13565, frames 2.7M, mean epr -18.96, run loss 11.43
time 01h 58m 29s, episodes 13692, frames 2.7M, mean epr -18.49, run loss 10.78
time 01h 59m 29s, episodes 13812, frames 2.7M, mean epr -18.76, run loss 8.94
time 02h 00m 29s, episodes 13932, frames 2.7M, mean epr -18.85, run loss 9.16
time 02h 01m 29s, episodes 14055, frames 2.8M, mean epr -18.67, run loss 9.41
time 02h 02m 29s, episodes 14174, frames 2.8M, mean epr -18.86, run loss 7.62
time 02h 03m 30s, episodes 14290, frames 2.8M, mean epr -19.10, run loss 8.19
time 02h 04m 30s, episodes 14412, frames 2.8M, mean epr -18.45, run loss 10.08
time 02h 05m 30s, episodes 14528, frames 2.9M, mean epr -18.73, run loss 9.10
time 02h 06m 30s, episodes 14651, frames 2.9M, mean epr -18.63, run loss 7.81
time 02h 07m 30s, episodes 14769, frames 2.9M, mean epr -18.96, run loss 8.00
time 02h 08m 30s, episodes 14891, frames 2.9M, mean epr -18.21, run loss 10.87
time 02h 09m 30s, episodes 15005, frames 2.9M, mean epr -18.89, run loss 10.05
time 02h 10m 30s, episodes 15133, frames 3.0M, mean epr -17.77, run loss 10.51
time 02h 11m 30s, episodes 15253, frames 3.0M, mean epr -18.63, run loss 10.16
time 02h 12m 30s, episodes 15373, frames 3.0M, mean epr -18.65, run loss 9.32
time 02h 13m 30s, episodes 15489, frames 3.0M, mean epr -18.82, run loss 7.69
time 02h 14m 30s, episodes 15605, frames 3.1M, mean epr -18.58, run loss 9.11
