
time 00h 01m 00s, episodes 449, frames 0.1M, mean epr 1.75, run loss 10.71
time 00h 02m 00s, episodes 884, frames 0.3M, mean epr 1.70, run loss 10.12
time 00h 03m 00s, episodes 1318, frames 0.4M, mean epr 1.54, run loss 8.00
time 00h 04m 00s, episodes 1735, frames 0.5M, mean epr 1.72, run loss 9.18
time 00h 05m 00s, episodes 2205, frames 0.6M, mean epr 1.49, run loss 6.65
time 00h 06m 00s, episodes 2696, frames 0.8M, mean epr 1.47, run loss 7.78
time 00h 07m 00s, episodes 3204, frames 0.9M, mean epr 1.54, run loss 7.33
time 00h 08m 00s, episodes 3701, frames 1.0M, mean epr 1.61, run loss 8.41
time 00h 09m 00s, episodes 4183, frames 1.2M, mean epr 1.60, run loss 6.99
time 00h 10m 00s, episodes 4687, frames 1.3M, mean epr 1.61, run loss 8.03
time 00h 11m 00s, episodes 5194, frames 1.4M, mean epr 1.42, run loss 6.54
time 00h 12m 00s, episodes 5651, frames 1.6M, mean epr 1.56, run loss 7.01
time 00h 13m 00s, episodes 6114, frames 1.7M, mean epr 1.77, run loss 8.60
time 00h 14m 00s, episodes 6602, frames 1.8M, mean epr 1.66, run loss 8.23
time 00h 15m 00s, episodes 7113, frames 1.9M, mean epr 1.21, run loss 5.17

	2M frames: saved model

time 00h 16m 00s, episodes 7593, frames 2.1M, mean epr 1.36, run loss 6.42
time 00h 17m 00s, episodes 8070, frames 2.2M, mean epr 1.40, run loss 6.98
time 00h 18m 00s, episodes 8555, frames 2.3M, mean epr 1.46, run loss 6.59
time 00h 19m 00s, episodes 9046, frames 2.4M, mean epr 1.49, run loss 7.93
time 00h 20m 00s, episodes 9534, frames 2.6M, mean epr 1.49, run loss 6.94
time 00h 21m 00s, episodes 9990, frames 2.7M, mean epr 1.38, run loss 6.19
time 00h 22m 00s, episodes 10413, frames 2.8M, mean epr 1.60, run loss 5.43
time 00h 23m 00s, episodes 10889, frames 2.9M, mean epr 1.51, run loss 7.04
time 00h 24m 00s, episodes 11356, frames 3.1M, mean epr 1.44, run loss 6.94
time 00h 25m 00s, episodes 11824, frames 3.2M, mean epr 1.47, run loss 8.19
time 00h 26m 00s, episodes 12308, frames 3.3M, mean epr 1.20, run loss 5.26
time 00h 27m 00s, episodes 12763, frames 3.4M, mean epr 1.68, run loss 8.70
time 00h 28m 00s, episodes 13230, frames 3.6M, mean epr 1.42, run loss 6.85
time 00h 29m 00s, episodes 13693, frames 3.7M, mean epr 1.53, run loss 7.21
time 00h 30m 00s, episodes 14148, frames 3.8M, mean epr 1.70, run loss 7.83
time 00h 31m 00s, episodes 14627, frames 3.9M, mean epr 1.28, run loss 5.62

	4M frames: saved model

time 00h 32m 00s, episodes 15114, frames 4.0M, mean epr 1.46, run loss 6.70
time 00h 33m 00s, episodes 15627, frames 4.2M, mean epr 1.29, run loss 5.75
time 00h 34m 00s, episodes 16078, frames 4.3M, mean epr 1.81, run loss 9.28
time 00h 35m 00s, episodes 16538, frames 4.4M, mean epr 1.46, run loss 6.83
time 00h 36m 00s, episodes 17010, frames 4.5M, mean epr 1.38, run loss 7.05
time 00h 37m 00s, episodes 17491, frames 4.7M, mean epr 1.51, run loss 7.04
time 00h 38m 00s, episodes 17949, frames 4.8M, mean epr 1.49, run loss 5.58
time 00h 39m 00s, episodes 18362, frames 4.9M, mean epr 1.71, run loss 7.96
time 00h 40m 00s, episodes 18791, frames 5.0M, mean epr 1.72, run loss 8.45
time 00h 41m 00s, episodes 19257, frames 5.2M, mean epr 1.38, run loss 6.15
time 00h 42m 00s, episodes 19723, frames 5.3M, mean epr 1.61, run loss 7.92
time 00h 43m 00s, episodes 20177, frames 5.4M, mean epr 1.60, run loss 7.58
time 00h 44m 00s, episodes 20645, frames 5.5M, mean epr 1.35, run loss 6.21
time 00h 45m 00s, episodes 21114, frames 5.7M, mean epr 1.50, run loss 6.64
time 00h 46m 00s, episodes 21585, frames 5.8M, mean epr 1.48, run loss 6.95
time 00h 47m 00s, episodes 22066, frames 5.9M, mean epr 1.67, run loss 8.06

	6M frames: saved model

time 00h 48m 00s, episodes 22529, frames 6.0M, mean epr 1.53, run loss 7.00
time 00h 49m 00s, episodes 22980, frames 6.2M, mean epr 1.68, run loss 8.55
time 00h 50m 00s, episodes 23449, frames 6.3M, mean epr 1.37, run loss 6.03
time 00h 51m 00s, episodes 23926, frames 6.4M, mean epr 1.46, run loss 6.74
time 00h 52m 00s, episodes 24407, frames 6.5M, mean epr 1.64, run loss 7.23
time 00h 53m 00s, episodes 24910, frames 6.7M, mean epr 1.60, run loss 7.16
time 00h 54m 00s, episodes 25373, frames 6.8M, mean epr 1.37, run loss 7.12
time 00h 55m 00s, episodes 25845, frames 6.9M, mean epr 1.53, run loss 6.98
time 00h 56m 00s, episodes 26314, frames 7.0M, mean epr 1.43, run loss 6.70
time 00h 57m 00s, episodes 26756, frames 7.2M, mean epr 1.18, run loss 4.24
time 00h 58m 00s, episodes 27221, frames 7.3M, mean epr 1.65, run loss 8.14
time 00h 59m 00s, episodes 27678, frames 7.4M, mean epr 1.62, run loss 7.50
time 01h 00m 00s, episodes 28155, frames 7.5M, mean epr 1.63, run loss 7.29
time 01h 01m 00s, episodes 28619, frames 7.7M, mean epr 1.50, run loss 6.79
time 01h 02m 00s, episodes 29090, frames 7.8M, mean epr 1.50, run loss 6.53
time 01h 03m 00s, episodes 29561, frames 7.9M, mean epr 1.39, run loss 6.43

	8M frames: saved model

time 01h 04m 00s, episodes 30027, frames 8.0M, mean epr 1.34, run loss 6.01
