
time 00h 01m 00s, episodes 419, frames 0.1M, run loss 423611.39
time 00h 02m 00s, episodes 825, frames 0.2M, run loss 9529.48
time 00h 03m 00s, episodes 1243, frames 0.3M, run loss 2235.73
time 00h 04m 00s, episodes 1670, frames 0.4M, run loss 1821.16
time 00h 05m 00s, episodes 2097, frames 0.5M, run loss 1646.89
time 00h 06m 00s, episodes 2518, frames 0.6M, run loss 1627.53
time 00h 07m 00s, episodes 2943, frames 0.7M, run loss 1585.83
time 00h 08m 00s, episodes 3357, frames 0.8M, run loss 1583.78
time 00h 09m 00s, episodes 3762, frames 0.9M, run loss 1640.35
time 00h 10m 00s, episodes 4180, frames 1.0M, run loss 1526.25
time 00h 11m 00s, episodes 4602, frames 1.1M, run loss 1501.41
time 00h 12m 00s, episodes 5033, frames 1.2M, run loss 1426.44
time 00h 13m 00s, episodes 5462, frames 1.3M, run loss 1371.51
time 00h 14m 00s, episodes 5876, frames 1.4M, run loss 1395.25
time 00h 15m 00s, episodes 6301, frames 1.5M, run loss 1318.37
time 00h 16m 00s, episodes 6714, frames 1.6M, run loss 1340.25
time 00h 17m 00s, episodes 7131, frames 1.7M, run loss 1323.21
time 00h 18m 00s, episodes 7547, frames 1.8M, run loss 1400.73
time 00h 19m 00s, episodes 7971, frames 1.9M, run loss 1316.05

	2M frames: saved model

time 00h 20m 00s, episodes 8379, frames 2.0M, run loss 1353.58
time 00h 21m 00s, episodes 8788, frames 2.2M, run loss 1365.48
time 00h 22m 00s, episodes 9208, frames 2.3M, run loss 434341646.72
time 00h 23m 00s, episodes 9638, frames 2.4M, run loss 5930014.32
time 00h 24m 00s, episodes 10060, frames 2.5M, run loss 90002.60
time 00h 25m 00s, episodes 10480, frames 2.6M, run loss 5319.55
time 00h 26m 00s, episodes 10896, frames 2.7M, run loss 3785.73
time 00h 27m 00s, episodes 11313, frames 2.8M, run loss 2366.74
time 00h 28m 00s, episodes 11724, frames 2.9M, run loss 2028.08
time 00h 29m 00s, episodes 12143, frames 3.0M, run loss 1841.60
time 00h 30m 00s, episodes 12550, frames 3.1M, run loss 1876.65
time 00h 31m 00s, episodes 12974, frames 3.2M, run loss 1827.61
time 00h 32m 00s, episodes 13380, frames 3.3M, run loss 1786.24
time 00h 33m 00s, episodes 13793, frames 3.4M, run loss 1782.91
time 00h 34m 00s, episodes 14212, frames 3.5M, run loss 1775.73
time 00h 35m 00s, episodes 14636, frames 3.6M, run loss 1680.45
time 00h 36m 00s, episodes 15048, frames 3.7M, run loss 1706.98
time 00h 37m 00s, episodes 15474, frames 3.8M, run loss 1664.79
time 00h 38m 00s, episodes 15883, frames 3.9M, run loss 1737.20
time 00h 39m 00s, episodes 16307, frames 4.0M, run loss 1741.87

	4M frames: saved model

time 00h 40m 00s, episodes 16719, frames 4.1M, run loss 1720.46
time 00h 41m 00s, episodes 17146, frames 4.2M, run loss 1697.89
time 00h 42m 00s, episodes 17563, frames 4.3M, run loss 1675.98
time 00h 43m 00s, episodes 17983, frames 4.4M, run loss 1631.90
time 00h 44m 00s, episodes 18409, frames 4.5M, run loss 1652.17
time 00h 45m 00s, episodes 18830, frames 4.6M, run loss 1684.49
time 00h 46m 00s, episodes 19247, frames 4.7M, run loss 1715.01
time 00h 47m 00s, episodes 19671, frames 4.8M, run loss 1650.00
time 00h 48m 00s, episodes 20098, frames 4.9M, run loss 1734.43
time 00h 49m 00s, episodes 20512, frames 5.0M, run loss 1772.25
time 00h 50m 00s, episodes 20927, frames 5.1M, run loss 1667.11
time 00h 51m 00s, episodes 21343, frames 5.2M, run loss 1642.25
time 00h 52m 00s, episodes 21766, frames 5.3M, run loss 1617.43
time 00h 53m 00s, episodes 22179, frames 5.4M, run loss 1720.79
time 00h 54m 00s, episodes 22599, frames 5.5M, run loss 1676.51
time 00h 55m 00s, episodes 23014, frames 5.6M, run loss 1734.34
time 00h 56m 00s, episodes 23442, frames 5.7M, run loss 1580.08
time 00h 57m 00s, episodes 23868, frames 5.8M, run loss 1575.67
time 00h 58m 00s, episodes 24299, frames 5.9M, run loss 1584.39

	6M frames: saved model

time 00h 59m 00s, episodes 24708, frames 6.0M, run loss 1687.69
time 01h 00m 00s, episodes 25124, frames 6.1M, run loss 1666.15
time 01h 01m 00s, episodes 25546, frames 6.2M, run loss 1599.97
time 01h 02m 00s, episodes 25964, frames 6.4M, run loss 1552.21
time 01h 03m 00s, episodes 26377, frames 6.5M, run loss 1615.15
time 01h 04m 00s, episodes 26793, frames 6.6M, run loss 1638.33
time 01h 05m 00s, episodes 27211, frames 6.7M, run loss 1655.62
time 01h 06m 00s, episodes 27612, frames 6.8M, run loss 1684.63
time 01h 07m 00s, episodes 28026, frames 6.9M, run loss 1609.50
time 01h 08m 00s, episodes 28446, frames 7.0M, run loss 1577.11
time 01h 09m 00s, episodes 28854, frames 7.1M, run loss 1630.03
time 01h 10m 00s, episodes 29282, frames 7.2M, run loss 1533.99
time 01h 11m 00s, episodes 29683, frames 7.3M, run loss 1647.71
time 01h 12m 00s, episodes 30098, frames 7.4M, run loss 1681.64
time 01h 13m 00s, episodes 30522, frames 7.5M, run loss 1580.74
time 01h 14m 00s, episodes 30941, frames 7.6M, run loss 1591.73
time 01h 15m 00s, episodes 31343, frames 7.7M, run loss 1715.96
time 01h 16m 00s, episodes 31766, frames 7.8M, run loss 1586.09
time 01h 17m 00s, episodes 32167, frames 7.9M, run loss 1568.94
time 01h 18m 00s, episodes 32576, frames 8.0M, run loss 1577.41

	8M frames: saved model

time 01h 19m 00s, episodes 32999, frames 8.1M, run loss 1452.41
time 01h 20m 00s, episodes 33424, frames 8.2M, run loss 1563.32
time 01h 21m 00s, episodes 33842, frames 8.3M, run loss 1537.52
time 01h 22m 00s, episodes 34267, frames 8.4M, run loss 1583.94
time 01h 23m 00s, episodes 34673, frames 8.5M, run loss 1593.24
time 01h 24m 00s, episodes 35088, frames 8.6M, run loss 1649.95
time 01h 25m 00s, episodes 35495, frames 8.7M, run loss 1662.65
time 01h 26m 00s, episodes 35912, frames 8.8M, run loss 6251.06
time 01h 27m 00s, episodes 36331, frames 8.9M, run loss 1813.95
time 01h 28m 00s, episodes 36742, frames 9.0M, run loss 1774.03
time 01h 29m 01s, episodes 37165, frames 9.1M, run loss 1615.17
time 01h 30m 01s, episodes 37570, frames 9.2M, run loss 1626.72
time 01h 31m 01s, episodes 37990, frames 9.3M, run loss 1593.87
time 01h 32m 01s, episodes 38411, frames 9.4M, run loss 1658.00
time 01h 33m 01s, episodes 38832, frames 9.5M, run loss 1597.70
time 01h 34m 01s, episodes 39262, frames 9.6M, run loss 1625.17
