
time 00h 01m 00s, episodes 380, frames 0.1M, mean epr 1.70, run loss 2.45
time 00h 02m 00s, episodes 831, frames 0.2M, mean epr 1.91, run loss -0.06
time 00h 03m 00s, episodes 1217, frames 0.4M, mean epr 1.78, run loss -0.64
time 00h 04m 00s, episodes 1687, frames 0.5M, mean epr 1.77, run loss -0.09
time 00h 05m 00s, episodes 2150, frames 0.6M, mean epr 1.76, run loss -1.31
time 00h 06m 00s, episodes 2605, frames 0.7M, mean epr 1.90, run loss -1.29
time 00h 07m 00s, episodes 3039, frames 0.8M, mean epr 1.65, run loss 1.00
time 00h 08m 00s, episodes 3495, frames 1.0M, mean epr 2.10, run loss -0.37
time 00h 09m 00s, episodes 3937, frames 1.1M, mean epr 2.17, run loss -0.18
time 00h 10m 00s, episodes 4329, frames 1.2M, mean epr 2.96, run loss -0.82
time 00h 11m 00s, episodes 4692, frames 1.3M, mean epr 3.54, run loss -0.90
time 00h 12m 00s, episodes 5067, frames 1.5M, mean epr 3.02, run loss -1.15
time 00h 13m 00s, episodes 5406, frames 1.6M, mean epr 4.12, run loss -1.92
time 00h 14m 00s, episodes 5768, frames 1.7M, mean epr 3.30, run loss -0.11
time 00h 15m 00s, episodes 6114, frames 1.8M, mean epr 4.45, run loss -2.66
time 00h 16m 00s, episodes 6441, frames 2.0M, mean epr 4.50, run loss -2.73

	2M frames: saved model

time 00h 17m 00s, episodes 6772, frames 2.1M, mean epr 4.46, run loss -2.44
time 00h 18m 00s, episodes 7124, frames 2.2M, mean epr 3.92, run loss -2.13
time 00h 19m 00s, episodes 7456, frames 2.3M, mean epr 4.37, run loss -1.91
time 00h 20m 00s, episodes 7828, frames 2.5M, mean epr 3.12, run loss -1.60
time 00h 21m 00s, episodes 8170, frames 2.6M, mean epr 4.23, run loss -2.74
time 00h 22m 00s, episodes 8525, frames 2.7M, mean epr 3.72, run loss -2.89
time 00h 23m 00s, episodes 8860, frames 2.9M, mean epr 4.05, run loss -2.82
time 00h 24m 00s, episodes 9200, frames 3.0M, mean epr 4.01, run loss -2.69
time 00h 25m 00s, episodes 9521, frames 3.1M, mean epr 4.49, run loss -2.74
time 00h 26m 00s, episodes 9830, frames 3.2M, mean epr 5.04, run loss -3.16
time 00h 27m 00s, episodes 10132, frames 3.4M, mean epr 5.15, run loss -3.60
time 00h 28m 00s, episodes 10450, frames 3.5M, mean epr 4.46, run loss -3.38
time 00h 29m 00s, episodes 10764, frames 3.6M, mean epr 5.02, run loss -3.02
time 00h 30m 00s, episodes 11083, frames 3.7M, mean epr 5.19, run loss -3.54
time 00h 31m 00s, episodes 11411, frames 3.9M, mean epr 4.63, run loss -3.58
time 00h 32m 00s, episodes 11706, frames 4.0M, mean epr 5.20, run loss -3.72

	4M frames: saved model

time 00h 33m 00s, episodes 12011, frames 4.1M, mean epr 4.95, run loss -2.91
time 00h 34m 00s, episodes 12306, frames 4.2M, mean epr 5.50, run loss -4.29
time 00h 35m 00s, episodes 12605, frames 4.4M, mean epr 5.06, run loss -3.14
time 00h 36m 00s, episodes 12899, frames 4.5M, mean epr 5.18, run loss -3.26
time 00h 37m 00s, episodes 13160, frames 4.6M, mean epr 6.24, run loss -4.41
time 00h 38m 00s, episodes 13456, frames 4.7M, mean epr 5.67, run loss -4.11
time 00h 39m 00s, episodes 13755, frames 4.9M, mean epr 6.03, run loss -4.12
time 00h 40m 00s, episodes 14028, frames 5.0M, mean epr 6.31, run loss -5.06
time 00h 41m 00s, episodes 14282, frames 5.1M, mean epr 7.29, run loss -4.87
time 00h 42m 00s, episodes 14540, frames 5.2M, mean epr 6.72, run loss -4.72
time 00h 43m 00s, episodes 14824, frames 5.4M, mean epr 5.50, run loss -3.25
time 00h 44m 00s, episodes 15107, frames 5.5M, mean epr 4.96, run loss -4.38
time 00h 45m 00s, episodes 15364, frames 5.6M, mean epr 6.81, run loss -4.79
time 00h 46m 00s, episodes 15650, frames 5.7M, mean epr 6.28, run loss -4.30
time 00h 47m 00s, episodes 15932, frames 5.9M, mean epr 6.62, run loss -4.93
time 00h 48m 00s, episodes 16190, frames 6.0M, mean epr 7.45, run loss -5.53

	6M frames: saved model

time 00h 49m 00s, episodes 16429, frames 6.1M, mean epr 8.05, run loss -5.45
time 00h 50m 00s, episodes 16670, frames 6.2M, mean epr 7.77, run loss -4.99
