
time 00h 01m 00s, episodes 80, frames 0.1M, mean epr 101.72, run loss 38.65
time 00h 02m 00s, episodes 172, frames 0.1M, mean epr 145.04, run loss 26.47
time 00h 03m 00s, episodes 273, frames 0.2M, mean epr 151.60, run loss 23.23
time 00h 04m 00s, episodes 379, frames 0.3M, mean epr 154.04, run loss 24.73
time 00h 05m 00s, episodes 490, frames 0.3M, mean epr 167.67, run loss 25.96
time 00h 06m 00s, episodes 597, frames 0.4M, mean epr 168.40, run loss 17.83
time 00h 07m 00s, episodes 695, frames 0.5M, mean epr 193.04, run loss 15.96
time 00h 08m 00s, episodes 789, frames 0.6M, mean epr 192.23, run loss 15.33
time 00h 09m 00s, episodes 892, frames 0.7M, mean epr 187.70, run loss 17.68
time 00h 10m 00s, episodes 999, frames 0.7M, mean epr 176.51, run loss 17.33
time 00h 11m 00s, episodes 1097, frames 0.8M, mean epr 186.89, run loss 19.95
time 00h 12m 00s, episodes 1197, frames 0.9M, mean epr 194.24, run loss 22.52
time 00h 13m 00s, episodes 1320, frames 1.0M, mean epr 169.32, run loss 25.05
time 00h 14m 00s, episodes 1441, frames 1.0M, mean epr 173.04, run loss 28.37
time 00h 15m 00s, episodes 1556, frames 1.1M, mean epr 169.38, run loss 19.19
time 00h 16m 00s, episodes 1682, frames 1.2M, mean epr 154.89, run loss 22.69
time 00h 17m 00s, episodes 1800, frames 1.3M, mean epr 163.82, run loss 27.07
time 00h 18m 00s, episodes 1909, frames 1.4M, mean epr 183.21, run loss 20.13
time 00h 19m 00s, episodes 2025, frames 1.5M, mean epr 175.92, run loss 23.41
time 00h 20m 00s, episodes 2137, frames 1.5M, mean epr 176.08, run loss 22.57
time 00h 21m 00s, episodes 2254, frames 1.6M, mean epr 179.87, run loss 23.69
time 00h 22m 00s, episodes 2366, frames 1.7M, mean epr 178.99, run loss 18.26
time 00h 23m 00s, episodes 2478, frames 1.8M, mean epr 185.96, run loss 16.58
time 00h 24m 35s, episodes 2660, frames 1.9M, mean epr 187.02, run loss 17.95

	2M frames: saved model

time 00h 25m 35s, episodes 2771, frames 2.0M, mean epr 192.67, run loss 19.32
time 00h 26m 35s, episodes 2883, frames 2.1M, mean epr 187.28, run loss 25.91
time 00h 27m 35s, episodes 3011, frames 2.2M, mean epr 163.45, run loss 24.40
time 00h 28m 35s, episodes 3127, frames 2.3M, mean epr 172.23, run loss 27.70
time 00h 29m 35s, episodes 3255, frames 2.3M, mean epr 152.57, run loss 20.47
time 00h 30m 35s, episodes 3379, frames 2.4M, mean epr 157.12, run loss 18.89
time 00h 31m 35s, episodes 3498, frames 2.5M, mean epr 164.00, run loss 17.67
time 00h 32m 35s, episodes 3620, frames 2.6M, mean epr 168.39, run loss 24.56
time 00h 33m 35s, episodes 3746, frames 2.7M, mean epr 165.10, run loss 27.91
time 00h 34m 35s, episodes 3863, frames 2.8M, mean epr 176.35, run loss 26.73
time 00h 35m 35s, episodes 3977, frames 2.8M, mean epr 165.83, run loss 21.60
time 00h 36m 35s, episodes 4079, frames 2.9M, mean epr 180.42, run loss 18.95
time 00h 37m 36s, episodes 4199, frames 3.0M, mean epr 162.05, run loss 15.61
time 00h 38m 36s, episodes 4318, frames 3.1M, mean epr 171.82, run loss 18.37
time 00h 39m 36s, episodes 4437, frames 3.2M, mean epr 167.59, run loss 22.55
time 00h 40m 36s, episodes 4555, frames 3.3M, mean epr 172.39, run loss 29.82
time 00h 41m 36s, episodes 4671, frames 3.3M, mean epr 169.21, run loss 25.88
time 00h 42m 36s, episodes 4792, frames 3.4M, mean epr 172.39, run loss 30.26
time 00h 43m 36s, episodes 4908, frames 3.5M, mean epr 185.65, run loss 30.08
time 00h 44m 36s, episodes 5019, frames 3.6M, mean epr 191.65, run loss 33.69
time 00h 45m 36s, episodes 5145, frames 3.7M, mean epr 172.02, run loss 29.63
time 00h 46m 36s, episodes 5264, frames 3.8M, mean epr 168.03, run loss 27.05
time 00h 47m 36s, episodes 5379, frames 3.8M, mean epr 190.08, run loss 28.38
time 00h 48m 36s, episodes 5491, frames 3.9M, mean epr 197.99, run loss 30.35

	4M frames: saved model

time 00h 49m 36s, episodes 5607, frames 4.0M, mean epr 180.24, run loss 30.61
time 00h 55m 36s, episodes 6155, frames 4.4M, mean epr 192.27, run loss 32.24
time 00h 56m 36s, episodes 6266, frames 4.5M, mean epr 191.69, run loss 28.55
time 00h 57m 36s, episodes 6383, frames 4.6M, mean epr 181.52, run loss 28.95
time 00h 58m 37s, episodes 6502, frames 4.6M, mean epr 171.37, run loss 24.69
time 00h 59m 37s, episodes 6619, frames 4.7M, mean epr 175.77, run loss 21.97
time 01h 00m 37s, episodes 6733, frames 4.8M, mean epr 172.39, run loss 22.43
time 01h 01m 37s, episodes 6856, frames 4.9M, mean epr 168.67, run loss 22.25
time 01h 02m 37s, episodes 6972, frames 5.0M, mean epr 180.69, run loss 24.12
time 01h 03m 37s, episodes 7088, frames 5.1M, mean epr 189.49, run loss 30.21
time 01h 04m 37s, episodes 7208, frames 5.1M, mean epr 187.35, run loss 31.36
time 01h 05m 37s, episodes 7332, frames 5.2M, mean epr 179.75, run loss 26.93
time 01h 06m 37s, episodes 7449, frames 5.3M, mean epr 178.34, run loss 24.75
time 01h 07m 37s, episodes 7568, frames 5.4M, mean epr 190.25, run loss 29.21
time 01h 08m 38s, episodes 7677, frames 5.5M, mean epr 188.28, run loss 24.80
time 01h 09m 38s, episodes 7786, frames 5.6M, mean epr 186.86, run loss 18.64
time 01h 10m 38s, episodes 7902, frames 5.7M, mean epr 178.63, run loss 20.63
time 01h 11m 39s, episodes 8024, frames 5.7M, mean epr 173.97, run loss 31.55
time 01h 12m 39s, episodes 8143, frames 5.8M, mean epr 180.98, run loss 28.81
time 01h 13m 39s, episodes 8256, frames 5.9M, mean epr 180.90, run loss 27.88
time 01h 14m 39s, episodes 8372, frames 6.0M, mean epr 174.17, run loss 20.31

	6M frames: saved model

time 01h 15m 39s, episodes 8479, frames 6.1M, mean epr 195.24, run loss 23.56
time 01h 16m 39s, episodes 8599, frames 6.2M, mean epr 180.72, run loss 15.33
time 01h 17m 39s, episodes 8718, frames 6.2M, mean epr 173.80, run loss 21.63
time 01h 18m 39s, episodes 8840, frames 6.3M, mean epr 178.88, run loss 24.42
time 01h 19m 39s, episodes 8954, frames 6.4M, mean epr 181.28, run loss 25.55
time 01h 20m 39s, episodes 9074, frames 6.5M, mean epr 173.37, run loss 30.48
time 01h 21m 41s, episodes 9195, frames 6.6M, mean epr 173.31, run loss 32.96
time 01h 22m 41s, episodes 9310, frames 6.7M, mean epr 188.18, run loss 43.05
time 01h 23m 41s, episodes 9433, frames 6.7M, mean epr 179.78, run loss 37.54
time 01h 24m 41s, episodes 9550, frames 6.8M, mean epr 174.56, run loss 38.82
time 01h 25m 41s, episodes 9660, frames 6.9M, mean epr 191.15, run loss 42.79
time 01h 26m 41s, episodes 9777, frames 7.0M, mean epr 182.50, run loss 37.54
time 01h 27m 41s, episodes 9895, frames 7.1M, mean epr 174.52, run loss 33.99
time 01h 28m 41s, episodes 10013, frames 7.2M, mean epr 184.56, run loss 34.48
time 01h 29m 41s, episodes 10134, frames 7.2M, mean epr 182.23, run loss 34.80
time 01h 30m 41s, episodes 10242, frames 7.3M, mean epr 203.27, run loss 40.08
time 01h 31m 41s, episodes 10361, frames 7.4M, mean epr 197.38, run loss 42.89
time 01h 32m 41s, episodes 10472, frames 7.5M, mean epr 200.80, run loss 40.90
time 01h 33m 41s, episodes 10587, frames 7.6M, mean epr 181.74, run loss 33.82
time 01h 34m 41s, episodes 10707, frames 7.7M, mean epr 167.44, run loss 24.10
time 01h 35m 42s, episodes 10823, frames 7.7M, mean epr 178.84, run loss 30.02
time 01h 36m 42s, episodes 10942, frames 7.8M, mean epr 171.69, run loss 27.55
time 01h 37m 42s, episodes 11064, frames 7.9M, mean epr 184.47, run loss 35.50
time 01h 38m 42s, episodes 11178, frames 8.0M, mean epr 191.79, run loss 41.29

	8M frames: saved model

time 01h 39m 42s, episodes 11288, frames 8.1M, mean epr 190.86, run loss 39.91
time 01h 40m 42s, episodes 11402, frames 8.2M, mean epr 199.82, run loss 44.13
time 01h 41m 42s, episodes 11518, frames 8.2M, mean epr 195.34, run loss 44.44
time 01h 42m 42s, episodes 11635, frames 8.3M, mean epr 181.30, run loss 42.98
